Number,Before,After,Inserted,Time
1,43953193,43823156,500,0.129375
2,43823156,43695155,1000,0.141898
3,43695155,43566131,1500,0.130951
4,43566131,43437107,2000,0.1288
5,43437107,43308083,2500,0.128752
6,43308083,43179059,3000,0.125741
7,43179059,43050035,3500,0.12733
8,43050035,42921011,4000,0.130659
9,42921011,42791987,4500,0.128625
10,42791987,42662963,5000,0.127301
11,42662963,42533939,5500,0.133692
12,42533939,42404914,6000,0.129074
13,42404914,42275890,6500,0.12923
14,42275890,42147890,7000,0.133053
15,42147890,42018866,7500,0.149561
16,42018866,41889842,8000,0.131206
17,41889842,41760818,8500,0.131589
18,41760818,41631794,9000,0.131017
19,41631794,41502770,9500,0.147482
20,41502770,41373746,10000,0.148589
21,41373746,41244722,10500,0.143356
22,41244722,41115698,11000,0.151549
23,41115698,40986674,11500,0.141372
24,40986674,40857650,12000,0.142489
25,40857650,40729650,12500,0.139854
26,40729650,40600626,13000,0.141723
27,40600626,40471602,13500,0.138769
28,40471602,40342578,14000,0.137162
29,40342578,40213554,14500,0.140922
30,40213554,40084530,15000,0.133475
31,40084530,39955506,15500,0.130722
32,39955506,39826482,16000,0.131548
33,39826482,39697458,16500,0.132375
34,39697458,39569458,17000,0.154432
35,39569458,39440434,17500,0.136492
36,39440434,39311410,18000,0.15057
37,39311410,39182386,18500,0.133422
38,39182386,39053362,19000,0.131854
39,39053362,38924338,19500,0.1381
40,38924338,38795314,20000,0.138484
41,38795314,38666290,20500,0.140404
42,38666290,38537266,21000,0.16313
43,38537266,38408242,21500,0.158932
44,38408242,38279218,22000,0.137963
45,38279218,38150194,22500,0.129515
46,38150194,38022194,23000,0.134092
47,38022194,37893170,23500,0.130409
48,37893170,37764146,24000,0.133849
49,37764146,37635122,24500,0.130946
50,37635122,37506098,25000,0.140667
51,37506098,37506098,25500,5e-05
50,37506098,37506098,25000,7.6e-05
49,37506098,37506098,24500,0.000102
48,37506098,37506098,24000,7.4e-05
47,37506098,37506098,23500,9.7e-05
46,37506098,37506098,23000,0.0001
45,37506098,37506098,22500,8.2e-05
44,37506098,37506098,22000,9.3e-05
43,37506098,37506098,21500,0.000103
42,37506098,37506098,21000,8.8e-05
41,37506098,37506097,20500,5.7e-05
40,37506097,37506097,20000,8.7e-05
39,37506097,37506097,19500,8.6e-05
38,37506097,37506097,19000,0.000108
37,37506097,37506105,18500,9.1e-05
36,37506105,37506105,18000,8.6e-05
35,37506105,37506105,17500,8e-05
34,37506105,37506105,17000,7e-05
33,37506105,37506105,16500,7.1e-05
32,37506105,37506105,16000,8.8e-05
31,37506105,37506105,15500,0.000107
30,37506105,37506105,15000,0.000109
29,37506105,37506105,14500,8.5e-05
28,37506105,37506105,14000,7e-05
27,37506105,37506105,13500,0.000101
26,37506105,37506105,13000,8.4e-05
25,37506105,37506104,12500,7.3e-05
24,37506104,37506104,12000,9.2e-05
23,37506104,37506104,11500,8.3e-05
22,37506104,37506100,11000,0.000112
21,37506100,37506097,10500,7e-05
20,37506097,37506097,10000,6.6e-05
19,37506097,37504152,9500,9.8e-05
18,37504152,37502916,9000,8.3e-05
17,37502916,37502883,8500,7.8e-05
16,37502883,37502367,8000,8.9e-05
15,37502367,37501809,7500,5.8e-05
14,37501809,37501770,7000,7.8e-05
13,37501770,37501768,6500,6.5e-05
12,37501768,37501767,6000,8.5e-05
11,37501767,37501767,5500,9.7e-05
10,37501767,31956935,5000,6.4e-05
9,31956935,31574561,4500,6.6e-05
8,31574561,32796038,4000,9.7e-05
7,32796038,32850608,3500,0.0001
6,32850608,34924682,3000,6.8e-05
5,34924682,34925227,2500,6.6e-05
4,34925227,34924012,2000,6.1e-05
3,34924012,34914356,1500,7.9e-05
2,34914356,34915286,1000,8.2e-05
1,34915286,34919970,500,0.000112
